id,popularity,name
6Sq7ltF9Qa7SNFBsV5Cogx,100,Me Porto Bonito
1IHWl5LamUGEuP4ozKQSXZ,98,Tití Me Preguntó
3k3NWokhRRkEPhCzPmV8TW,98,Ojitos Lindos
6Xom58OOXk2SoU711L2IXO,97,Moscow Mule
5Eax0qFko2dh7Rl2lYs3bx,96,Efecto
4tYFy8ALRjIZvnvSLw5lxN,95,Party
1dm6z1fWB0cErMszU25dy2,93,Después de la Playa
41oY4WCTj5kccfesTVFnvN,94,Tarot
5CzixCxDkRXX9mScCmah8O,92,Un Ratito
7dSZ6zGTQx66c2GF91xCrb,96,PROVENZA
5kVZxyMY1gfdCLiChsfjn1,91,Yo No Soy Celoso
1797zYiX4cKosMH836X9Gt,92,La Corriente
31i56LZnwE6uSu3exoHjtB,91,Neverita
0E0DRHf5PfMeor0ZCwB3oT,89,Otro Atardecer
44XjoNvtwevktFKjvVe1vH,90,Andrea
2uflssWlCaJ6CbTMOsUpNI,90,Aguacero
6VrQTLzzuyGIYjUDe4kAZk,89,Un Coco
4d4ZXH4dr5bYfgErHiZCX2,89,Dos Mil 16
0UvZcEfpzVyx47QsRbjyBz,87,El Apagón
7mK0AcwJ5NYJE2vFBJjjDi,0,MIA
